diff_window_id,ax_max,ax_min,ax_mean,ay_max,ay_min,ay_mean,az_max,az_min,az_mean,gx_max,gx_min,gx_mean,gy_max,gy_min,gy_mean,gz_max,gz_min,gz_mean,device,activity
35,0.015990999999999977,-0.01330600000000004,-0.0005316250000000017,0.09936499999999998,-0.073486,-0.0004815849999999999,0.110596,-0.112183,-0.005747050000000001,5.0048829999999995,-1.708985,0.07019040999999998,4.760744,-5.004883,-0.50170906,2.990723,-3.0517589999999997,-0.181274475,A,riding
36,0.015990999999999977,-0.013183999999999974,-0.0001538150000000016,0.09936499999999998,-0.073486,-0.0005377100000000004,0.110596,-0.11084,0.0026123150000000005,1.892091,-1.4038089999999999,0.007019029999999999,4.760744,-3.356935,-0.017089870000000004,2.990723,-3.0517589999999997,0.008239745000000003,A,riding
37,0.015990999999999977,-0.013183999999999974,0.00030944000000000083,0.09936499999999998,-0.06347599999999999,0.0032336299999999995,0.06262200000000001,-0.11084,-0.004326165,1.525879,-1.4038089999999999,-0.016174314999999998,2.5634759999999996,-3.356935,-0.15625000000000003,2.563477,-3.0517589999999997,-0.22064213500000002,A,riding
38,0.014037999999999995,-0.011108999999999924,-0.0003192100000000003,0.07128900000000002,-0.05554200000000001,-0.0009515500000000002,0.05896,-0.040283,-0.0011682250000000002,0.976563,-1.220703,-0.0027465849999999993,1.037598,-0.8544930000000001,0.05371098,2.563477,-2.990723,-0.07385251999999999,A,riding
39,0.014037999999999995,-0.008789000000000047,-0.00023252499999999786,0.07128900000000002,-0.045655,-0.0007891800000000001,0.05896,-0.040283,-0.0009949,1.037598,-1.098633,-0.012207054999999993,1.037598,-1.159668,-0.011291470000000001,2.563477,-1.89209,0.050659195,A,riding
40,0.024170000000000025,-0.00866699999999998,0.0004040500000000008,0.12780699999999998,-0.04003899999999999,0.001991555,0.059937000000000004,-0.05590799999999999,-0.0015576150000000005,1.892091,-1.831056,-0.012817374999999999,1.6479489999999999,-1.159668,0.028076169999999998,2.441407,-3.051757,0.10070802000000001,A,riding
41,0.027587999999999946,-0.02282700000000004,-0.00047546000000000144,0.14355500000000002,-0.137695,-0.00434509,0.137817,-0.090698,0.00281129,2.319336,-3.112793,-0.034179694999999996,3.479004,-4.211425,-0.036621094999999985,6.8359380000000005,-3.295898,0.31951909,A,riding
42,0.041259000000000046,-0.02282700000000004,0.0014947550000000021,0.212158,-0.137695,0.007456665,0.137817,-0.113891,-0.00066161,3.295899,-3.112793,0.051879909999999994,3.479004,-4.211425,-0.145263725,6.8359380000000005,-8.056642,-0.13427736499999995,A,riding
43,0.041259000000000046,-0.02490300000000001,0.0001733299999999971,0.212158,-0.137695,-0.001150520000000001,0.137817,-0.113891,0.0035064899999999997,3.295899,-3.112793,0.020141614999999998,3.479004,-4.211425,0.11688235000000001,6.8359380000000005,-8.056642,-0.07751466999999998,A,riding
44,0.041259000000000046,-0.03991699999999998,-0.00108153,0.212158,-0.20654299999999998,-0.005997910000000002,0.137817,-0.113891,0.0002838149999999999,3.295899,-3.112793,0.039978040000000006,3.479004,-4.211425,-0.020446799999999998,6.8359380000000005,-8.056642,-0.071105955,A,riding
45,0.041259000000000046,-0.03991699999999998,0.0011480700000000017,0.212158,-0.20654299999999998,0.00853882,0.123413,-0.216675,-0.01000916,3.295899,-2.868653,0.016479504999999985,5.737306,-5.92041,0.16784672999999997,4.882814000000001,-8.056642,-0.12817383,A,riding
46,0.02258300000000002,-0.03991699999999998,-0.0008148350000000015,0.127685,-0.20654299999999998,-0.00467833,0.17041,-0.216675,0.004050925,3.1738280000000003,-3.54004,-0.07232667500000002,5.737306,-5.92041,-0.010986335000000019,4.882814000000001,-5.249023,0.18432619000000003,A,riding
47,0.02258300000000002,-0.03991699999999998,-1.2829999999999232e-05,0.127685,-0.20654299999999998,0.0028137450000000003,0.17041,-0.216675,-0.007102045000000001,3.1738280000000003,-3.54004,-0.008239739999999997,6.591799,-5.92041,-0.15838628499999996,4.882814000000001,-5.249023,0.09124761499999998,A,riding
48,0.02258300000000002,-0.026245000000000074,0.0018554500000000018,0.10180700000000001,-0.13720700000000002,0.010692115,0.17041,-0.216675,-0.00043885499999999993,3.1738280000000003,-3.54004,-0.015258795000000002,6.591799,-5.92041,-0.050659164999999964,4.516603,-3.601076,-0.07781985,A,riding
49,0.02258300000000002,-0.026245000000000074,-0.0002520750000000005,0.10180700000000001,-0.13720700000000002,-0.00259766,0.17041,-0.110596,0.00958679,3.1738280000000003,-3.54004,-0.007629399999999995,6.591799,-3.78418,-0.019836500000000007,4.516603,-3.66211,-0.12023929500000001,A,riding
50,0.017456000000000027,-0.020996000000000015,-0.0005407450000000013,0.08410599999999999,-0.10131799999999999,-0.001921385000000001,0.144287,-0.110596,-0.0035492049999999997,2.9296889999999998,-3.356934,-0.04547119499999999,6.591799,-3.41797,0.22491462499999998,3.173829,-3.66211,0.15258787499999998,A,riding
51,0.017456000000000027,-0.015869000000000022,0.0008673150000000019,0.08386199999999999,-0.07617199999999999,0.0037817149999999993,0.15332,-0.174926,0.0021582100000000002,2.868653,-2.563476,0.015869145000000008,2.868653,-5.798341,-0.08819577499999998,3.173829,-3.66211,-0.07720953,A,riding
52,0.015869000000000022,-0.015869000000000022,-0.0008935450000000006,0.08007800000000001,-0.07617199999999999,-0.004912094999999998,0.15332,-0.174926,3.296500000000081e-05,2.868653,-3.479004,0.0009155150000000134,3.845216,-5.798341,0.11871338999999999,3.234864,-3.66211,0.03387449499999997,A,riding
53,0.015869000000000022,-0.015869000000000022,-0.0002014149999999998,0.08007800000000001,-0.07617199999999999,0.0007043549999999998,0.15332,-0.174926,-0.00774171,2.868653,-3.479004,0.03173827500000001,3.845216,-5.798341,-0.041503874999999975,3.234864,-2.990723,0.06805420499999998,A,riding
54,0.015869000000000022,-0.019287000000000054,0.000502915000000001,0.08007800000000001,-0.09973099999999999,0.0033477650000000004,0.15332,-0.174926,-0.00411499,2.868653,-3.479004,0.063781745,3.845216,-5.798341,-0.00518802999999999,3.234864,-2.990723,-0.213928235,A,riding
55,0.019776000000000016,-0.019287000000000054,0.0002478049999999998,0.11267100000000002,-0.09973099999999999,0.00272339,0.109741,-0.133911,-0.007014149999999999,2.868652,-3.479004,-0.08575440499999998,3.845216,-2.9296870000000004,0.19073484000000002,3.234864,-2.990724,0.19378668,A,riding
56,0.019776000000000016,-0.019287000000000054,0.0005792199999999987,0.11267100000000002,-0.09973099999999999,0.0031365999999999994,0.109741,-0.113769,-0.0033618199999999997,2.868652,-2.563476,-0.0527954,2.563477,-3.66211,-0.15106204,2.7465829999999998,-3.8452150000000005,0.05798345499999999,A,riding
57,0.019776000000000016,-0.019774999999999987,0.0004650999999999983,0.11267100000000002,-0.109741,0.0016064349999999994,0.109741,-0.113769,-0.00019895999999999968,3.1738289999999996,-2.8076179999999997,0.03387451,2.563477,-3.66211,-0.09643554500000001,2.7465829999999998,-4.333496,-0.21240227999999997,A,riding
58,0.020995999999999904,-0.02307199999999998,-0.0006793250000000034,0.119141,-0.12731900000000002,-0.0038806150000000005,0.082885,-0.091308,0.00204162,3.356935,-2.929688,0.08697510000000001,2.2583010000000003,-3.66211,-0.19897458500000004,3.9672849999999995,-4.760743,-0.08911133500000001,A,riding
59,0.020995999999999904,-0.02307199999999998,-0.0011303700000000012,0.119141,-0.12731900000000002,-0.0067138449999999995,0.082885,-0.132691,0.005640215,3.356935,-2.929688,0.03814698500000002,2.13623,-3.66211,0.02471924999999998,3.9672849999999995,-4.760743,-0.14709475,A,riding
60,0.020995999999999904,-0.02307199999999998,-0.001020494999999999,0.119141,-0.12731900000000002,-0.004605705,0.073609,-0.132691,-0.00037597500000000034,3.356935,-2.929688,0.04425048499999999,2.13623,-1.6479489999999999,0.010986364999999996,3.9672849999999995,-4.760743,-0.01434329499999997,A,riding
61,0.026245000000000074,-0.02404799999999996,-0.0014856149999999974,0.11962799999999998,-0.136231,-0.00920286,0.08398399999999999,-0.132691,0.005490115,3.356935,-2.929688,-0.01464842,2.13623,-3.540039,-0.11291506,4.638673,-5.615235,0.05828855499999999,A,riding
62,0.026245000000000074,-0.02404799999999996,0.0002246000000000037,0.11962799999999998,-0.136231,-0.0003692700000000004,0.08398399999999999,-0.132691,0.00321226,2.197265,-2.685546,-0.10192871999999997,2.2583010000000003,-3.540039,0.003356935000000014,4.638673,-5.615235,0.09826662999999998,A,riding
63,0.026245000000000074,-0.02404799999999996,0.00019409500000000136,0.11962799999999998,-0.136231,-0.0010571299999999994,0.08398399999999999,-0.05603,0.0038348550000000003,2.197265,-2.5634759999999996,0.043029755,2.2583010000000003,-3.540039,-0.03570556,4.638673,-5.615235,-0.07568356999999999,A,riding
64,0.026245000000000074,-0.02404799999999996,-3.7850000000000385e-05,0.11962799999999998,-0.136231,-0.0019116350000000005,0.08398399999999999,-0.05603,0.00351867,1.953125,-2.5634759999999996,-0.005798344999999987,2.2583010000000003,-3.540039,0.07232663500000001,4.638673,-5.615235,0.007934604999999966,A,riding
65,0.018067000000000055,-0.014525999999999928,0.000598774999999998,0.10363699999999999,-0.074951,0.0042578,0.052368,-0.05603,-0.00045471000000000004,1.77002,-2.2583010000000003,-0.0140381,2.2583010000000003,-1.586915,0.191650395,3.845216,-3.234864,0.319213865,A,riding
66,0.019530999999999965,-0.02282699999999993,0.00047545999999999976,0.10620100000000002,-0.117554,0.00293092,0.054321999999999995,-0.057129,-0.001411715,1.5869140000000002,-2.380372,-0.0012207049999999997,1.2817379999999998,-1.525878,0.04119870500000003,3.6010740000000006,-4.2114259999999994,0.050048869999999995,A,riding
67,0.019530999999999965,-0.02282699999999993,0.0006787149999999992,0.10620100000000002,-0.117554,0.00412108,0.06823699999999999,-0.057129,-0.00013914999999999997,1.5869140000000002,-2.380372,-0.02960202500000001,1.1596669999999998,-1.7700199999999997,-0.097351095,3.6010740000000006,-4.2114259999999994,0.014343234999999979,A,riding
68,0.019530999999999965,-0.02282699999999993,0.0001794450000000014,0.10620100000000002,-0.117554,0.00024596000000000063,0.06823699999999999,-0.057129,0.00280395,1.5869140000000002,-2.380372,-0.010070795,1.220703,-1.7700199999999997,-0.077514645,3.6010740000000006,-4.2114259999999994,-0.12634278499999999,A,riding
69,0.02661200000000008,-0.029418999999999973,-4.5179999999999666e-05,0.136475,-0.17419400000000002,-0.0017688000000000003,0.068603,-0.063965,0.0025415100000000003,2.563478,-2.380372,-0.005798339999999997,1.220703,-1.7700199999999997,-0.132141095,4.455566,-6.8359369999999995,-0.4483033,A,riding
70,0.02661200000000008,-0.045044000000000084,-0.0015374550000000014,0.14038099999999998,-0.23864699999999997,-0.009482440000000002,0.068603,-0.110718,0.0025433199999999995,3.4179690000000003,-3.112793,0.11779785500000002,2.868653,-1.7700199999999997,0.269470245,5.5542,-6.8359369999999995,-0.03570560999999998,A,riding
71,0.02661200000000008,-0.045044000000000084,-0.0018774449999999997,0.14038099999999998,-0.23864699999999997,-0.010540780000000001,0.068603,-0.110718,-0.0010083000000000004,3.4179690000000003,-3.1738280000000003,0.013122545000000017,2.868653,-1.8310549999999997,0.11383059500000002,5.5542,-6.8359369999999995,0.07476808500000003,A,riding
72,0.02661200000000008,-0.045044000000000084,0.00034058499999999823,0.14038099999999998,-0.23864699999999997,0.0021734500000000012,0.068603,-0.110718,-0.004240710000000001,3.4179690000000003,-3.1738280000000003,0.004272465000000026,2.868653,-2.3193360000000003,-0.055847155000000016,5.5542,-6.8359369999999995,0.11383060500000004,A,riding
73,0.02661200000000008,-0.045044000000000084,-0.0013879349999999986,0.14038099999999998,-0.23864699999999997,-0.007447509999999999,0.077026,-0.110718,-0.0031671450000000006,3.601075,-3.1738280000000003,0.11688234999999998,2.868653,-2.441406,0.136413575,5.5542,-6.164553000000001,0.18249518000000006,A,riding
74,0.027831999999999968,-0.022093999999999947,0.0008288600000000002,0.15490700000000002,-0.107788,0.00541444,0.10168500000000001,-0.16259800000000002,-0.0027770850000000003,7.202151,-15.075683999999999,-0.18402099500000002,5.2490239999999995,-2.441406,-0.08666996,5.554199,-5.737304999999999,0.32440190999999996,A,riding
75,0.035156000000000076,-0.04089299999999996,0.0016186450000000008,0.18322699999999997,-0.219361,0.009570305000000001,0.11608900000000001,-0.16259800000000002,-0.00425539,19.836427,-15.075683999999999,-0.03570556499999999,5.2490239999999995,-5.798341,0.0021362399999999893,5.798341000000001,-7.568359,0.2008056849999999,A,riding
76,0.035156000000000076,-0.04089299999999996,-0.0004345800000000011,0.18322699999999997,-0.219361,-0.0019219749999999992,0.11608900000000001,-0.16259800000000002,-0.0004779000000000003,19.836427,-15.075683999999999,0.11596682499999998,5.2490239999999995,-5.798341,-0.076904335,5.798341000000001,-7.568359,-0.18829355499999997,A,riding
77,0.035156000000000076,-0.04089299999999996,0.0011218249999999973,0.18322699999999997,-0.219361,0.006000349999999999,0.11608900000000001,-0.16259800000000002,-0.0005517149999999998,19.836427,-15.075683999999999,-0.10528567999999999,5.2490239999999995,-5.798341,-0.11322021500000001,5.798341000000001,-7.568359,-0.039062550000000015,A,riding
78,0.035156000000000076,-0.04089299999999996,0.00019470000000000153,0.18322699999999997,-0.219361,0.0014526349999999999,0.11608900000000001,-0.14453100000000002,1.4039999999999886e-05,19.836427,-7.751466000000001,0.13671878499999995,1.8310560000000002,-5.798341,-0.07324218999999996,5.798341000000001,-7.568359,-0.31433113,A,riding
79,0.02868599999999999,-0.02087400000000006,-0.0014684950000000013,0.14416500000000002,-0.109131,-0.0073614299999999995,0.072876,-0.077027,0.0007507399999999997,5.371095,-3.540039,0.05065919,2.01416,-2.075195,0.09765624999999996,3.8452170000000003,-5.859375,-0.136108445,A,riding
80,0.02868599999999999,-0.02087400000000006,0.00037596500000000143,0.14416500000000002,-0.109131,0.002601305,0.075318,-0.077027,0.0004363899999999998,3.2348630000000003,-3.540039,-0.095825235,2.01416,-1.708985,0.16326910000000003,3.8452170000000003,-4.394532,0.03387451499999997,A,riding
81,0.02868599999999999,-0.02087400000000006,-0.0001532049999999996,0.14416500000000002,-0.11328099999999999,0.0002942099999999996,0.07727099999999999,-0.077027,-0.0020275949999999997,3.2348630000000003,-2.929688,-0.019226040000000007,2.01416,-1.9531260000000001,-0.005798370000000048,3.8452170000000003,-4.394532,-0.11413573499999999,A,riding
82,0.02868599999999999,-0.026854999999999962,-0.0007464699999999996,0.14416500000000002,-0.142822,-0.005441879999999999,0.150024,-0.077027,-0.0003454700000000005,3.2348630000000003,-3.051759,-0.075073305,2.01416,-2.441407,-0.1513672,6.1645509999999994,-4.394532,-0.02349849999999999,A,riding
83,0.025146,-0.026854999999999962,-0.00020629999999999927,0.11352499999999999,-0.142822,-0.002949235,0.150024,-0.070191,0.005586544999999999,3.2348630000000003,-3.051759,-0.036010735,2.13623,-2.441407,-0.10589599500000002,6.1645509999999994,-4.394532,0.12573248,A,riding
84,0.025146,-0.026854999999999962,-0.000742775,0.11352499999999999,-0.142822,-0.005000589999999999,0.150024,-0.08740300000000001,0.00198669,3.112794,-3.051759,-0.04180907499999998,3.112793,-3.173828,0.03204341999999999,6.1645509999999994,-4.15039,0.14068612000000003,A,riding
85,0.025146,-0.026854999999999962,-0.00017821999999999893,0.11352499999999999,-0.142822,-0.0011193900000000007,0.150024,-0.08740300000000001,-0.00011231999999999909,3.112794,-3.051759,0.0006103300000000189,3.112793,-3.173828,0.14068604,6.1645509999999994,-4.15039,0.204772995,A,riding
86,0.020873999999999948,-0.016722999999999932,0.00033143499999999825,0.10766600000000001,-0.08703599999999997,0.004078975,0.085083,-0.08740300000000001,-0.0047937000000000006,3.112794,-2.502442,0.009155299999999993,3.112793,-3.173828,0.14099126,3.9672859999999996,-3.356934,0.08941649499999998,A,riding
87,0.018309999999999937,-0.013062000000000018,0.00037597499999999953,0.10180600000000001,-0.06872499999999998,0.0039727849999999995,0.085083,-0.08740300000000001,-0.005662230000000001,2.2582999999999998,-1.831054,0.018005359999999998,3.112793,-3.173828,-0.02044675999999999,2.929688,-3.356934,-0.14343263000000003,A,riding
88,0.012695000000000012,-0.013062000000000018,-0.0003131350000000016,0.078492,-0.06872499999999998,-0.0006213500000000003,0.071655,-0.072754,-0.003330664999999999,2.2582999999999998,-1.831054,0.011596684999999987,2.868653,-2.563478,-0.10223393000000001,2.502441,-2.136231,0.027465794999999998,A,riding
89,0.023926000000000003,-0.0191650000000001,0.0009991449999999986,0.130493,-0.09948699999999999,0.005921030000000001,0.071655,-0.072754,0.003070675,1.770021,-2.807618,-0.09399416000000001,2.868653,-2.563478,-0.31494139,4.2114270000000005,-2.136231,0.45349128499999997,A,riding
90,0.034302000000000055,-0.0191650000000001,0.0029491950000000012,0.17700200000000002,-0.09948699999999999,0.014160160000000001,0.08386199999999999,-0.043945,0.010656145,1.77002,-4.2114259999999994,-0.14495851,1.464844,-2.319337,-0.15747071999999998,4.2114270000000005,-3.845215,0.07263185999999999,A,riding
91,0.034302000000000055,-0.0191650000000001,0.00259399,0.17700200000000002,-0.09948699999999999,0.012662955,0.08386199999999999,-0.043945,0.00883302,2.990723,-4.2114259999999994,0.031127915000000003,1.464844,-2.197267,0.07293697499999997,4.2114270000000005,-3.845215,-0.2532959699999999,A,riding
